"tag","country_name","historical_system_type","current_land_units","current_land_manpower","historical_standing_low","historical_standing_high","historical_effective_anchor","garrison_adjustment","standing_representation_factor","factor_rationale","target_land_units_low","target_land_units_high","target_land_units_recommended","target_infantry","target_cavalry","target_artillery","target_other","composition_source","composition_confidence","target_barracks_levels","historical_mobilization_type","target_mobilization_capacity","mobilization_model","current_to_target_delta","structural_defer","structural_resolution","tech_dependent_review_later","conversion_confidence","research_status","notes","recommended_formation_count"
"OMA","Oman","HOUSEHOLD_CORE_PLUS_TRIBAL_PROVINCIAL_FORCE","10","10000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; household core plus tribal mobilization.","8","14","10","6","3","1","0","REGIONAL_MODEL","LOW","10","PROVINCIAL_TRIBAL_CONTINGENTS","25","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; household core plus tribal mobilization.","1"
"ONT","Ontario","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","0","0","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","QUALITATIVE_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","NO_INDEPENDENT_1776_FORCE","","YES","NO_INDEPENDENT_1776_FORCE","YES","VERY_LOW","STRUCTURAL_DEFER","Ontario/Upper Canada as represented is not a 1776 sovereign military polity; forces belong to British North American structures. Numeric independent-force target withheld pending structural/map resolution.",""
"ORA","Oranje","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","0","0","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","QUALITATIVE_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","MAP_REWORK_DEFERRED","","YES","MAP_REWORK_DEFERRED","YES","VERY_LOW","STRUCTURAL_DEFER","Orange/Boer state representation is anachronistic for 1776. Numeric independent-force target withheld pending structural/map resolution.",""
"OYO","Oyo","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; cavalry-heavy royal core, subject-town forces mobilizable.","8","16","12","7","5","0","0","QUALITATIVE_MODEL","MEDIUM","12","MILITIA_LEVY_OR_LOCAL_OBLIGATION","35","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","12","NO","","YES","LOW","QUALITATIVE_ONLY","Composition should be cavalry-heavy relative to many West African neighbors; current 15 barracks/no formations is capacity-only, not a researched army. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; cavalry-heavy royal core, subject-town forces mobilizable.","1"
"OZH","Orta Zhuz","HOUSEHOLD_CORE_PLUS_TRIBAL_CONFEDERAL_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","0","1","0","0","QUALITATIVE_MODEL","LOW","1","TRIBAL_CONFEDERAL_LEVY","3","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"PAN","Punjab","HOUSEHOLD_CORE_PLUS_MERCENARY_LEVY","86","86000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; current 86-unit script reduced to a defensible core model.","35","55","45","28","14","3","0","REGIONAL_MODEL","LOW","45","MILITIA_LEVY_OR_LOCAL_OBLIGATION","80","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-41","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; current 86-unit script reduced to a defensible core model.","2"
"PAP","Papal States","EUROPEAN_REGULAR_STATE","7","7000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","4","8","6","5","1","0","0","REGIONAL_MODEL","LOW","6","MILITIA_RESERVE","3","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"PAR","Parma","EUROPEAN_REGULAR_STATE","3","3000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","2","4","3","2","0","0","1","REGIONAL_MODEL","LOW","3","MILITIA_RESERVE","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"PCO","Puerto Rico","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","7","7000","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","REGIONAL_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","ALLOCATE_FROM_OVERLORD_POOL","","YES","ALLOCATE_FROM_OVERLORD_POOL","YES","VERY_LOW","STRUCTURAL_DEFER","Puerto Rico is Spanish imperial territory. Numeric independent-force target withheld pending structural/map resolution.",""
"PER","Persia","ZAND_CORE_PLUS_TRIBAL_MOBILIZATION","85","85000","","","Effective <=50% of unsafe 1774 paper total","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; effective core held below half of unsafe campaign paper strength.","25","40","32","20","10","2","0","REGIONAL_MODEL","MEDIUM","32","MILITIA_LEVY_OR_LOCAL_OBLIGATION","60","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-53","NO","","YES","LOW","QUANTITATIVE_LOW_CONFIDENCE","Current 85,000 V3 standing manpower is likely too high unless it is deliberately representing much wider tribal/provincial capacity; 2D-2 must separate those layers. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; effective core held below half of unsafe campaign paper strength.","1"
"PHI","Philippines","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","7","7000","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","REGIONAL_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","ALLOCATE_FROM_OVERLORD_POOL","","YES","ALLOCATE_FROM_OVERLORD_POOL","YES","VERY_LOW","STRUCTURAL_DEFER","Philippines is Spanish imperial territory. Numeric independent-force target withheld pending structural/map resolution.",""
"PHL","Philippolis","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","0","0","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","QUALITATIVE_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","MAP_REWORK_DEFERRED","","YES","MAP_REWORK_DEFERRED","YES","VERY_LOW","STRUCTURAL_DEFER","Philippolis/Griqua polity representation is later/anachronistic for 1776. Numeric independent-force target withheld pending structural/map resolution.",""
"PLC","Poland-Lithuania","EUROPEAN_REGULAR_STATE","49","49000","12000","24000","12000 effective / 24000 paper","Standing core excludes militia/levy; garrison burden included in modeled range","0,667","Effective 12,000 and paper 24,000 reconciled to a conservative 16-unit standing target.","12","20","16","10","5","1","0","REGIONAL_MODEL","LOW","16","MILITIA_RESERVE","18","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-33","NO","","YES","LOW","QUANTITATIVE_LOW_CONFIDENCE","Political/military conditions changed after 1764; 2D-2 should use this as a lower-quality structural anchor only. Effective 12,000 and paper 24,000 reconciled to a conservative 16-unit standing target.","1"
"PLY","Tahiti","LOCAL_WARRIOR_MOBILIZATION","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","0","0","0","0","0","0","QUALITATIVE_MODEL","LOW","0","MILITIA_LEVY_OR_LOCAL_OBLIGATION","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","Qualitative or structural treatment only; centralized-state military abstraction is unsafe without polity-specific evidence. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0"
"PON","Pontianak","COURT_GARRISON_PLUS_MANDALA_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_LEVY_OR_LOCAL_OBLIGATION","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
